posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
0,1,12:57:02,00:00:00,Yeray DURAN,N/D,N/D,M,VET-A,bluetrail,2018
1,2,13:12:08,00:00:00,Sange SHERPA,N/D,N/D,M,SENIOR,bluetrail,2018
2,3,14:14:15,00:00:00,Juan Antonio GONZÁLEZ RODRÍGUEZ,N/D,N/D,M,VET-A,bluetrail,2018
3,4,14:21:51,00:00:00,Azara GARCIA,N/D,N/D,F,SENIOR,bluetrail,2018
4,5,14:34:25,00:00:00,Arcadio ARAUJO,N/D,N/D,M,VET-A,bluetrail,2018
5,6,14:42:32,00:00:00,Elia VANZO,N/D,N/D,M,SENIOR,bluetrail,2018
6,7,14:58:22,00:00:00,Arkaitz ITURRIAGA-ETXEBARRIA,N/D,N/D,M,SENIOR,bluetrail,2018
7,8,15:35:02,00:00:00,Antoni GARCÍA-HERNÁNDEZ,N/D,N/D,M,SENIOR,bluetrail,2018
8,9,15:35:59,00:00:00,Gabriel MEIRA,N/D,N/D,M,VET-A,bluetrail,2018
9,10,15:44:50,00:00:00,Victor-Manuel GONZALEZ-CEJAS,N/D,N/D,M,VET-A,bluetrail,2018
10,11,15:49:07,00:00:00,Rafael FERNANDEZ-PERDOMO,N/D,N/D,M,VET-B,bluetrail,2018
11,12,15:52:43,00:00:00,Ivan GALVAN,N/D,N/D,M,SENIOR,bluetrail,2018
12,13,15:54:15,00:00:00,Juan-Carlos RODRIGUEZ-CASTILLA,N/D,N/D,M,VET-B,bluetrail,2018
13,14,16:03:45,00:00:00,Nadezda SURMONINA,N/D,N/D,F,SENIOR,bluetrail,2018
14,15,16:05:24,00:00:00,Jack CASEY,N/D,N/D,M,SENIOR,bluetrail,2018
15,16,16:10:46,00:00:00,Isidro RODRIGUEZ-LUIS,N/D,N/D,M,VET-A,bluetrail,2018
16,17,16:16:27,00:00:00,Arsenio MARTIN-GONZALEZ,N/D,N/D,M,VET-A,bluetrail,2018
17,18,16:16:52,00:00:00,Walter PASTOR-HORSTMANN,N/D,N/D,M,VET-A,bluetrail,2018
18,19,16:19:05,00:00:00,Jonathan CANINO-MARTIN,N/D,N/D,M,SENIOR,bluetrail,2018
19,20,16:19:05,00:00:00,Ibon HURTADO,N/D,N/D,M,SENIOR,bluetrail,2018
20,21,16:24:37,00:00:00,Basilio LABRADOR,N/D,N/D,M,VET-B,bluetrail,2018
21,22,16:24:51,00:00:00,Rodrigo CAMINO-DOMINGUEZ,N/D,N/D,M,VET-A,bluetrail,2018
22,23,16:25:06,00:00:00,Álvaro ALONSO-ÁNGEL-DE LA ROSA (Alvaro ALONSO ANGEL DE LA ROSA),N/D,N/D,M,SENIOR,bluetrail,2018
23,24,16:31:19,00:00:00,Jose Mario RAMIREZ HERNANDEZ,N/D,N/D,M,SENIOR,bluetrail,2018
