posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
0,1,8:39:23,00:00:00,Cristofer CLEMENTE MORA,SALOMON,N/D,M,SENIOR,haria,2019
1,2,9:11:00,00:00:00,Ionel Cristian MANOLE,PERLAS COLMENAR,N/D,M,SENIOR,haria,2019
2,3,9:24:32,00:00:00,Fran RODRIGUEZ MARTIN,ARISTA PRO-TEAM,N/D,M,SENIOR,haria,2019
3,4,9:50:23,00:00:00,Rubén VIGIL CHACÓN,CARRERASDEMONTANA.COM,N/D,M,SENIOR,haria,2019
4,5,9:50:23,00:00:00,Albi CEDRÉS VIÑOLES,lanzarunning,N/D,M,SENIOR,haria,2019
5,6,10:07:25,00:00:00,Sandro GONZÁLEZ MARTÍN,KUKIMBIA SANTIAGO DEL TEIDE,N/D,M,SENIOR,haria,2019
6,7,10:09:55,00:00:00,Dani SANTANA GARCÍA,ARISTA PRO-TEAM,N/D,M,SENIOR,haria,2019
7,8,10:18:38,00:00:00,Angel JÁBEGA MURADO,XENDASTUR,N/D,M,SENIOR,haria,2019
8,9,10:20:28,00:00:00,Jose Manuel LEON MEDINA,TENERIFETRAIL,N/D,M,VET-A,haria,2019
9,10,10:31:30,00:00:00,David DIAZ AMADOR,CLATOR,N/D,M,SENIOR,haria,2019
10,11,10:41:06,00:00:00,Aaron David ARENCIBIA RODRIGUEZ,OLD PEAK TEAM,N/D,M,SENIOR,haria,2019
11,12,11:00:47,00:00:00,Jabín PÉREZ GONZÁLEZ,CD HILERA,N/D,M,SENIOR,haria,2019
12,13,11:07:22,00:00:00,Asier DEL POZO PÉREZ,CLUB MIRANDÉS DE MONTAÑA,N/D,M,SENIOR,haria,2019
13,14,11:07:22,00:00:00,Roberto CASTAÑO GARCÍA,SATORRA,N/D,M,SENIOR,haria,2019
14,15,11:09:36,00:00:00,Miguel Ángel GARCIA RUIZ,GREEN POWER SPORTS TEAM,N/D,M,VET-A,haria,2019
15,16,11:14:48,00:00:00,Agustin LUJAN MALDONADO,HG AML TEAM,N/D,M,SENIOR,haria,2019
16,17,11:22:48,00:00:00,Saulo Fernando OJEDA PERERA,C.D. MUÉVETE RUNNING,N/D,M,VET-A,haria,2019
17,18,11:28:23,00:00:00,Walter PASTOR HORSTMANN,GREEN POWER SPORTS TEAM,N/D,M,SENIOR,haria,2019
18,19,11:33:54,00:00:00,Tanausú CABRERA ALBELO,C.M. EL JABLE,N/D,M,SENIOR,haria,2019
19,20,11:36:12,00:00:00,Alexis RODRIGUEZ BRITO,PICHON TRAIL PROJECT,N/D,M,SENIOR,haria,2019
20,21,11:43:17,00:00:00,Javier VIZCAINO SANCHEZ,EL JABLE,N/D,M,SENIOR,haria,2019
21,22,11:49:45,00:00:00,Gerben KROES,AV AQUILO,N/D,M,VET-A,haria,2019
22,23,11:51:24,00:00:00,Ana Cristina CONSTANTIN,ABS F,N/D,F,unkwnow,haria,2019
23,24,11:54:32,00:00:00,Félix José SANTANA QUINTANA,COTRAINER,N/D,M,VET-A,haria,2019
24,25,12:01:05,00:00:00,Juan Francisco GARCÍA GONZÁLEZ,FORMA-TRAIL,N/D,M,SENIOR,haria,2019
25,26,12:02:35,00:00:00,David ALVAREZ URIARTE,GALDAKAO ATLETISMO TALDEA,N/D,M,SENIOR,haria,2019
26,27,12:07:00,00:00:00,Antoni GARCIA HERNÁNDEZ,KABRANKEROS,N/D,M,SENIOR,haria,2019
27,28,12:13:46,00:00:00,Juan Jesus FERNANDEZ MARTIN,INDEPENDIENTE,N/D,M,SENIOR,haria,2019
28,29,12:15:58,00:00:00,Jose Luis BASALO OCHOA,R.S.E.A PEÑALARA,N/D,M,VET-A,haria,2019
29,30,12:22:48,00:00:00,Enrique BADIA IZQUIERDO,CLUB ATLETISMO FRAGA-BAJO CINCA,N/D,M,VET-A,haria,2019
30,31,12:26:57,00:00:00,Alberto HARO GONZALEZ,TRAILXTREM,N/D,M,SENIOR,haria,2019
31,32,12:29:25,00:00:00,Gemma GAME,INDEPENDENT,N/D,F,VET-A,haria,2019
32,33,12:29:26,00:00:00,Joaquin FLORENZA VILLAGRASA,CLUB ATLETISMO FRAGA - BAJO CINCA,N/D,M,SENIOR,haria,2019
33,34,12:31:42,00:00:00,Victorio HERNANDEZ RODRIGUEZ,BIKILAMANJARO,N/D,M,VET-A,haria,2019
34,35,12:31:46,00:00:00,Wouter KNOCKAERT,ABS M,N/D,M,unkwnow,haria,2019
35,36,12:32:38,00:00:00,Roberto Carlos ACOSTA SANCHEZ,ABS M,N/D,M,unkwnow,haria,2019
36,37,12:37:47,00:00:00,Juan Manuel ALVAREZ CORUÑA,VEREDAS ATAURO,N/D,M,VET-A,haria,2019
37,38,12:45:34,00:00:00,Miriam MORENO CASTILLO,INDEPENDIENTE,N/D,F,VET-A,haria,2019
38,39,12:48:01,00:00:00,Francisco Ramón MORALES MEDINA,MAP TRAIL ESPACIOSALUD,N/D,M,SENIOR,haria,2019
39,40,12:56:27,00:00:00,Jose Luis RUBIO MARTICELLA,VET M,N/D,M,unkwnow,haria,2019
40,41,12:59:44,00:00:00,Oliver FALCÓN SANTANA,ACTIVAT TRAIL TEAM,N/D,M,SENIOR,haria,2019
41,42,13:03:53,00:00:00,Nuria PEREZ GARCIA,SOCIEDAD DEPORTIVA TORRELAVEGA,N/D,F,SENIOR,haria,2019
42,43,13:05:09,00:00:00,Ricardo Javier CASTRILLO PIÑERO,AIIIIIIIADELANTE TEAM,N/D,M,VET-A,haria,2019
43,44,13:08:34,00:00:00,Juanjo ARTILES MENA,B-SPORTY,N/D,M,VET-A,haria,2019
